输入,输出,逻辑
受伤,治疗,受伤后通常需要治疗
冰块,融化,冰块在温暖环境中会融化
思维,想法,思维过程产生想法
蚂蚁,巢穴,蚂蚁群体居住在巢穴中
极限,挑战,极限往往需要挑战来突破
麻雀,飞翔,麻雀是常见会飞翔的鸟类
鳎目鱼,海洋,鳎目鱼（比目鱼）生活在海洋环境
青椒,蔬菜,青椒属于蔬菜类别
隐喻,象征,隐喻是一种象征性表达方式
陶罐,陶器,陶罐是陶器的一种形式
迷宫,复杂,迷宫设计通常很复杂
康德,哲学,康德是著名哲学家
解构,德里达,解构主义由德里达提出
自由,解放,自由常带来解放感
网络,连接,网络的核心功能是连接
空调,制冷,空调主要用于制冷降温
砂纸,粗糙,砂纸表面粗糙用于打磨
直觉,本能,直觉类似人类本能反应
电梯,上升,电梯常见运动方向是上升
爵士乐,即兴,爵士乐强调即兴演奏
继承,遗产,继承常涉及遗产接收
熵增,混乱,熵增代表系统混乱度增加
瀑布,壮观,瀑布是壮观的自然水流现象
显微镜,微小,显微镜用于观察微小物体
无限,永恒,无限概念常与永恒相关联
拓扑,空间,拓扑学研究空间形状变化
手机,便捷,手机提供便捷的通信方式
悖论,矛盾,悖论通常包含内在矛盾
快递,快速,快递服务强调快速配送
对象,目标,对象可指代目标或事物
线,细长,线通常具有细长形状特征
彳亍,缓慢,彳亍意指缓慢行走的状态
异化,疏离,异化概念涉及人与社会的疏离
幽默感,风趣,幽默感常表现为风趣表达
崇高,伟大,崇高代表伟大或高尚境界
密码,加密,密码用于信息加密保护
宿命,注定,宿命暗示命运注定
存在,本质,存在哲学探讨生命本质
向日葵,阳光,向日葵随阳光方向转动
思维,理性,思维过程强调理性分析
个人主义,独立,个人主义倡导独立自主
意思,理解,意思需要通过理解来把握
大方,慷慨,大方形容人慷慨大度
生气,情绪,生气是一种负面情绪
本事,技能,本事指个人技能或能力
东西,物品,东西泛指各种物品
关门,隔离,关门可造成空间隔离
可怜,同情,可怜引发同情心
地道,地下,地道指地下通道
对头,敌对,对头表示敌对关系
宣传,推广,宣传用于推广信息
包袱,沉重,包袱比喻心理或实际负担
开花,美丽,开花象征美丽与生机
结实,耐用,结实形容物体坚固耐用
出头,显露,出头指从隐蔽中显露
下场,结局,下场表示最终结局
买卖,商业,买卖是基本商业活动
风光,旅游,风光常作为旅游吸引点
精神,活力,精神体现内在活力
人家,住户,人家指家庭或住户单位
反正,无论如何,反正表示转折或总结
龙,神话,龙是神话传说中的生物
来往,互动,来往指人际互动交流
隐私,保护,隐私需要法律或道德保护
同志,平等,同志强调平等与友爱
隧道,黑暗,隧道内部通常黑暗
小姐,礼貌,小姐是礼貌的女性称谓
潜水,深度,潜水涉及水下深度探索
病毒,传播,病毒具有快速传播特性
代理,中介,代理充当中介角色
蜜罐,甜蜜,蜜罐象征甜蜜或陷阱
关系,纽带,关系是人际间的纽带
孝顺,美德,孝顺是传统道德美德
吃醋,情感,吃醋表达情感嫉妒
缘分,巧合,缘分常被视为命运巧合
撒娇,依赖,撒娇表现情感依赖
委屈,不公,委屈源于不公待遇
差不多,模糊,差不多表示模糊近似
记忆,存储,记忆是信息的存储过程
蠕虫,蠕动,蠕虫通过蠕动移动
镜像,对称,镜像产生对称反射效果
