输入,输出,逻辑
受伤,治疗,因果关系
冰块,融化,物理变化
思维,跳跃,抽象关联
蚂蚁,群体,生物特性
极限,突破,动作结果
麻雀,鸣叫,动物行为
鳎目鱼,烹饪,食材用途
青椒,蔬菜,类别归属
隐喻,修辞,文学手法
陶罐,古董,历史属性
迷宫,探索,功能用途
康德,哲学,人物领域
解构,德里达,理论关联
自由,解放,动作结果
网络,互联,属性特征
空调,制冷,功能用途
砂纸,打磨,工具用途
直觉,感知,认知方式
电梯,垂直,运动方向
爵士乐,即兴,艺术风格
继承,遗产,法律行为
熵增,混乱,物理概念
瀑布,水流,自然现象
显微镜,观察,工具功能
无限,循环,数学概念
拓扑,几何,学科领域
手机,通信,功能用途
悖论,矛盾,逻辑概念
快递,包裹,运输对象
对象,实例,编程术语
线,编织,材料用途
彳亍,徘徊,动作状态
异化,对立,社会现象
幽默感,搞笑,情感属性
崇高,伟大,形容词性
密码,加密,信息安全
宿命,注定,哲学概念
存在,本质,哲学范畴
向日葵,太阳,生物特性
个人主义,自我,价值观念
意思,含义,语义关联
大方,慷慨,性格特征
生气,愤怒,情绪表达
本事,能力,技能范畴
东西,物品,泛指代词
关门,闭合,动作结果
可怜,同情,情感反应
地道,正宗,属性判断
对头,正确,反义词组
宣传,推广,行为目的
包袱,负担,隐喻用法
开花,结果,植物生长
结实,牢固,物理属性
出头,冒尖,动作结果
下场,结局,因果结果
买卖,交易,经济行为
风光,景色,自然属性
精神,意志,抽象概念
人家,他人,人称代词
反正,无论如何,副词用法
龙,神话,文化符号
来往,交流,人际关系
隐私,秘密,信息属性
同志,伙伴,人际关系
隧道,穿越,建筑功能
小姐,称呼,社会称谓
潜水,隐藏,网络用语
病毒,感染,生物特性
代理,中介,角色属性
蜜罐,诱捕,网络安全
关系,联系,抽象概念
孝顺,美德,道德观念
吃醋,嫉妒,情感表达
缘分,命运,抽象概念
撒娇,示弱,行为方式
委屈,冤屈,情绪状态
差不多,接近,程度副词
记忆,存储,认知过程
蠕虫,寄生,生物特性
镜像,对称,物理现象
