输入,输出,逻辑
受伤,愈合,受伤后的自然过程
冰块,融化,冰的物理变化
思维,逻辑,思维的基本结构
蚂蚁,群体,蚂蚁的社会性特征
极限,突破,面对极限的行动
麻雀,觅食,麻雀的主要行为
鳎目鱼,伪装,比目鱼的生存策略
青椒,炒制,青椒的常见烹饪方式
隐喻,象征,文学修辞的相关概念
陶罐,烧制,陶器的制作工艺
迷宫,出口,迷宫问题的目标
康德,理性,康德哲学的核心概念
解构,重建,解构后的必然步骤
自由,责任,自由伴随的义务
网络,连接,网络的基本功能
空调,温控,空调的核心作用
砂纸,打磨,砂纸的使用目的
直觉,感知,直觉的认知基础
电梯,升降,电梯的基本功能
爵士乐,即兴,爵士乐的特色
继承,传承,继承的文化意义
熵增,混乱,热力学第二定律的结果
瀑布,奔流,瀑布的动态特征
显微镜,观察,显微镜的用途
无限,边界,无限概念的对比
拓扑,变换,拓扑学的研究对象
手机,通讯,手机的基本功能
悖论,矛盾,悖论的本质特征
快递,运输,快递的核心服务
对象,主体,哲学中的对应概念
线,面,几何学的维度递进
彳亍,徘徊,行走状态的描述
异化,疏离,马克思主义概念的延伸
幽默感,智慧,幽默的心理基础
崇高,敬畏,崇高引发的情感
密码,解锁,密码的使用目的
宿命,抗争,面对宿命的态度
存在,意义,存在主义的核心问题
向日葵,追光,向日葵的生长特性
思维,创新,思维的高级形式
个人主义,集体,个人主义的对立面
意思,表达,意思的传递方式
大方,慷慨,大方的具体表现
生气,发泄,生气的处理方式
本事,能力,本事的同义表达
东西,物品,东西的具体化
关门,隔离,关门的作用效果
可怜,同情,可怜引发的情感
地道,正宗,地道的品质特征
对头,冤家,对头的关系性质
宣传,推广,宣传的目的
包袱,负担,包袱的比喻意义
开花,结果,植物生长的序列
结实,强壮,结实的身体状态
出头,出人头地,出头的完整表达
下场,结局,下场的同义词
买卖,交易,买卖的本质
风光,得意,风光的心理状态
精神,物质,哲学二元对立
人家,别人,人家的指代对象
反正,不管,反正的语气功能
龙,威严,龙的文化象征
来往,交际,来往的社交意义
隐私,保护,隐私的需求
同志,战友,同志的深层含义
隧道,穿越,隧道的功能
小姐,礼貌,小姐作为称谓的性质
潜水,探索,潜水的目的之一
病毒,传播,病毒的特性
代理,委托,代理关系的基础
蜜罐,诱捕,蜜罐技术的原理
关系,纽带,关系的连接性质
孝顺,感恩,孝顺的情感基础
吃醋,嫉妒,吃醋的心理实质
缘分,际遇,缘分的表现形式
撒娇,亲昵,撒娇的情感表达
委屈,抱怨,委屈的发泄方式
差不多,凑合,差不多的生活态度
记忆,遗忘,记忆的对立过程
蠕虫,爬行,蠕虫的运动方式
镜像,反射,镜像的物理原理
