输入,输出,逻辑
受伤,绷带,受伤后常用绷带包扎
冰块,融化,冰块会随时间融化
思维,发散,思维可以发散联想
蚂蚁,团结,蚂蚁以团结协作著称
极限,挑战,极限常伴随挑战
麻雀,叽喳,麻雀叫声叽叽喳喳
鳎目鱼,深海,鳎目鱼多栖息于深海
青椒,炒肉,青椒常与肉类同炒
隐喻,修辞,隐喻是一种修辞手法
陶罐,考古,陶罐常见于考古发现
迷宫,出口,迷宫需要寻找出口
康德,哲学,康德是著名哲学家
解构,德里达,解构主义与德里达相关
自由,飞翔,自由常象征为飞翔
网络,连接,网络的核心是连接
空调,制冷,空调主要功能是制冷
砂纸,打磨,砂纸用于打磨表面
直觉,敏锐,直觉往往敏锐直接
电梯,楼层,电梯连接不同楼层
爵士乐,即兴,爵士乐注重即兴演奏
继承,遗产,继承常涉及遗产分配
熵增,热力学,熵增是热力学概念
瀑布,彩虹,瀑布附近易出现彩虹
显微镜,细胞,显微镜用于观察细胞
无限,循环,无限常表现为循环
拓扑,数学,拓扑是数学分支
手机,通讯,手机主要用于通讯
悖论,矛盾,悖论包含矛盾关系
快递,包裹,快递运输的是包裹
对象,编程,对象是编程概念
线,纺织,线与纺织工艺相关
彳亍,徘徊,彳亍表示徘徊状态
异化,马克思,异化是马克思理论概念
幽默感,喜剧,幽默感是喜剧核心
崇高,美学,崇高是美学范畴
密码,解密,密码需要解密过程
宿命,希腊,宿命论源于希腊悲剧
存在,海德格尔,存在是海德格尔哲学核心
向日葵,太阳,向日葵追随太阳
思维,脑科学,思维研究属于脑科学
个人主义,自由主义,个人主义与自由主义相关
意思,语义,意思与语义学相关
大方,慷慨,大方意为慷慨
生气,愤怒,生气即愤怒情绪
本事,能力,本事指个人能力
东西,物品,东西指代物品
关门,营业,关门代表停止营业
可怜,同情,可怜引发同情
地道,隧道,地道可指地下隧道
对头,正确,对头意为正确
宣传,广告,宣传类似广告行为
包袱,相声,包袱是相声表演术语
开花,结果,开花后通常会结果
结实,牢固,结实意为牢固
出头,露面,出头意为公开露面
下场,结局,下场指最终结局
买卖,交易,买卖即商业交易
风光,景色,风光指自然景色
精神,意识,精神与意识相关
人家,住户,人家指代住户
反正,无论如何,反正表示转折关系
龙,图腾,龙是中华文化图腾
来往,交流,来往指人际交流
隐私,保护,隐私需要被保护
同志,同性恋,同志指代同性恋群体
隧道,黑暗,隧道通常光线黑暗
小姐,礼仪,小姐是礼仪称谓
潜水,深海,潜水活动多在深海
病毒,感染,病毒会导致感染
代理,中介,代理即中介服务
蜜罐,甜蜜,蜜罐象征甜蜜
关系,人际,关系指人际关系
孝顺,父母,孝顺针对父母
吃醋,嫉妒,吃醋意为嫉妒
缘分,命运,缘分与命运相关
撒娇,任性,撒娇表现任性
委屈,冤枉,委屈源于被冤枉
差不多,近似,差不多表示近似
记忆,遗忘,记忆与遗忘相对
蠕虫,土壤,蠕虫多生活在土壤
镜像,对称,镜像具有对称性
