输入,输出,逻辑
受伤,恢复,受伤之后通常需要恢复
冰块,融化,冰块遇热会融化
思维,意识,思维和意识密切相关
蚂蚁,群体,蚂蚁以群体活动著称
极限,突破,极限常被用来突破
麻雀,鸟类,麻雀属于鸟类
鳎目鱼,扁平,鳎目鱼身体扁平
青椒,蔬菜,青椒是一种蔬菜
隐喻,象征,隐喻常用来象征某物
陶罐,碎片,陶罐易碎，常见碎片
迷宫,出口,迷宫的目标是找到出口
康德,哲学,康德是著名哲学家
解构,重组,解构后常常重组
自由,选择,自由意味着有选择
网络,节点,网络由节点组成
空调,制冷,空调的主要功能之一是制冷
砂纸,打磨,砂纸用于打磨表面
直觉,判断,直觉常用于快速判断
电梯,楼层,电梯用于到达不同楼层
爵士乐,即兴,爵士乐以即兴著称
继承,遗产,继承通常指遗产
熵增,无序,熵增代表无序增加
瀑布,水流,瀑布是水流形成的
显微镜,观察,显微镜用于观察微观
无限,宇宙,宇宙常被认为是无限的
拓扑,连续,拓扑学关注连续性
手机,通信,手机主要用于通信
悖论,自相矛盾,悖论即自相矛盾
快递,包裹,快递运送包裹
对象,属性,对象通常有属性
线,连接,线用于连接两点
彳亍,慢行,彳亍意为慢慢行走
异化,疏离,异化常导致疏离
幽默感,笑声,幽默感引发笑声
崇高,敬畏,崇高让人感到敬畏
密码,解锁,密码用于解锁
宿命,必然,宿命意味着必然发生
存在,本体,存在论关注本体
向日葵,阳光,向日葵向着阳光生长
思维,推理,思维常用于推理
个人主义,独立,个人主义强调独立
意思,表达,意思需要表达出来
大方,慷慨,大方的人通常慷慨
生气,愤怒,生气是一种愤怒情绪
本事,能力,本事即能力
东西,物品,东西泛指物品
关门,锁门,关门后常常锁门
可怜,同情,可怜引发同情
地道,正宗,地道常指正宗
对头,敌人,对头即敌人
宣传,推广,宣传是推广的一种方式
包袱,负担,包袱象征负担
开花,结果,开花后会结果
结实,坚固,结实即坚固
出头,表现,出头意味着表现突出
下场,结局,下场即结局
买卖,交易,买卖即交易
风光,景色,风光即景色
精神,意志,精神和意志相关
人家,别人,人家指别人
反正,无所谓,反正即无所谓
龙,神话,龙常见于神话
来往,交流,来往即交流
隐私,保护,隐私需要保护
同志,平等,同志强调平等
隧道,穿越,隧道用于穿越障碍
小姐,服务,小姐常指服务行业
潜水,呼吸,潜水需要特殊呼吸
病毒,感染,病毒会引起感染
代理,代表,代理即代表
蜜罐,诱饵,蜜罐用于诱饵攻击
关系,联系,关系即联系
孝顺,父母,孝顺对象是父母
吃醋,嫉妒,吃醋即嫉妒
缘分,偶遇,缘分常指偶遇
撒娇,亲昵,撒娇表现亲昵
委屈,哭泣,委屈时常哭泣
差不多,接近,差不多即接近
记忆,回忆,记忆和回忆相关
蠕虫,爬行,蠕虫以爬行著称
镜像,对称,镜像具有对称性
